Email date (UTC),Internet message ID,Sender address,Sender domain,Recipients,Subject,Delivery action,Latest delivery location,DMARC
2026-05-07 09:13:00,<de38c665a63bd78be306c37c@smtp.example-esp.net>,noreply@example.com,example.com,user33@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-08 09:14:00,<919887082071b6360b413415@smtp.example-esp.net>,noreply@example.com,example.com,user34@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-09 09:15:00,<64e8a71995eedda5f7595783@smtp.example-esp.net>,noreply@example.com,example.com,user35@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-01 09:10:00,<9783ea406aa68092c14b629f@smtp.example-esp.net>,noreply@example.com,example.com,user36@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-02 09:11:00,<5416903536529b494de19e4a@smtp.example-esp.net>,noreply@example.com,example.com,user37@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-03 09:12:00,<a8449b6b16c5a1c766e68076@smtp.example-esp.net>,noreply@example.com,example.com,user38@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-04 09:13:00,<312ceb7aa9d0ae1e05fe5010@smtp.example-esp.net>,noreply@example.com,example.com,user39@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-01 14:20:10,<1326989d4e18888709af722a@smtp.example-esp.net>,reports@example.com,example.com,staff0@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-01 14:20:15,<1326989d4e18888709af722a@smtp.example-esp.net>,reports@example.com,example.com,staff0@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-02 14:21:10,<066316151b0013dc98b07479@smtp.example-esp.net>,reports@example.com,example.com,staff1@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-02 14:21:15,<066316151b0013dc98b07479@smtp.example-esp.net>,reports@example.com,example.com,staff1@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-03 14:22:10,<7705c883f1276a042349f258@smtp.example-esp.net>,reports@example.com,example.com,staff2@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-03 14:22:15,<7705c883f1276a042349f258@smtp.example-esp.net>,reports@example.com,example.com,staff2@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-04 14:23:10,<fd8c2fe75ddfe61fd5a80675@smtp.example-esp.net>,reports@example.com,example.com,staff3@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-04 14:23:15,<fd8c2fe75ddfe61fd5a80675@smtp.example-esp.net>,reports@example.com,example.com,staff3@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-05 14:24:10,<13d30f1231ce93f1d0bd400a@smtp.example-esp.net>,reports@example.com,example.com,staff4@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-05 14:24:15,<13d30f1231ce93f1d0bd400a@smtp.example-esp.net>,reports@example.com,example.com,staff4@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-06 14:25:10,<7dd108f57fc1bea9e3f9f622@smtp.example-esp.net>,reports@example.com,example.com,staff5@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-06 14:25:15,<7dd108f57fc1bea9e3f9f622@smtp.example-esp.net>,reports@example.com,example.com,staff5@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-07 14:20:10,<de958c35ab8296ce97b9661b@smtp.example-esp.net>,reports@example.com,example.com,staff6@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-07 14:20:15,<de958c35ab8296ce97b9661b@smtp.example-esp.net>,reports@example.com,example.com,staff6@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-08 14:21:10,<fc9ee30157103e57bfe6bda2@smtp.example-esp.net>,reports@example.com,example.com,staff7@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-08 14:21:15,<fc9ee30157103e57bfe6bda2@smtp.example-esp.net>,reports@example.com,example.com,staff7@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-09 14:22:10,<c00b6e5bb2ce775b64b8ddc8@smtp.example-esp.net>,reports@example.com,example.com,staff8@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-09 14:22:15,<c00b6e5bb2ce775b64b8ddc8@smtp.example-esp.net>,reports@example.com,example.com,staff8@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-01 14:23:10,<899678a833176a0aa67062ce@smtp.example-esp.net>,reports@example.com,example.com,staff9@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-01 14:23:15,<899678a833176a0aa67062ce@smtp.example-esp.net>,reports@example.com,example.com,staff9@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-02 14:24:10,<89532380149ff89fe79b98d4@smtp.example-esp.net>,reports@example.com,example.com,staff10@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-02 14:24:15,<89532380149ff89fe79b98d4@smtp.example-esp.net>,reports@example.com,example.com,staff10@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-03 14:25:10,<9eab22c106cf87c5a17de90a@smtp.example-esp.net>,reports@example.com,example.com,staff11@example.com,Weekly operations report,Delivered,Inbox/folder,pass
2026-05-03 14:25:15,<9eab22c106cf87c5a17de90a@smtp.example-esp.net>,reports@example.com,example.com,staff11@example.com,Weekly operations report,Blocked,Quarantine,fail
2026-05-01 03:00:44,<45519a415bab970710a2b4bf@smtp.example-esp.net>,finance.lead0@example.com,example.com,ap0@example.com,Invoice #A8813 past due,Blocked,Quarantine,fail
2026-05-02 03:01:44,<f8e7fb17fc9213696b16eeba@smtp.example-esp.net>,finance.lead1@example.com,example.com,ap1@example.com,You have (2) unread voicemails,Blocked,Quarantine,fail
2026-05-03 03:02:44,<d7e78819eb2f94d375610d0a@smtp.example-esp.net>,finance.lead2@example.com,example.com,ap2@example.com,ACH Payment Notification,Blocked,Quarantine,fail
2026-05-04 03:03:44,<54edcbb77d424a08c84de6da@smtp.example-esp.net>,finance.lead3@example.com,example.com,ap3@example.com,Please DocuSign: Direct Deposit Authorization,Blocked,Quarantine,fail
2026-05-05 03:04:44,<d7c51d7322ed31392b44f6ae@smtp.example-esp.net>,finance.lead4@example.com,example.com,ap0@example.com,Invoice #A8813 past due,Blocked,Quarantine,fail
2026-05-06 03:05:44,<30fc6fc21461da0c426eb147@smtp.example-esp.net>,finance.lead0@example.com,example.com,ap1@example.com,You have (2) unread voicemails,Blocked,Quarantine,fail
2026-05-07 03:00:44,<da1ad1db2ea9f8427ff6eadd@smtp.example-esp.net>,finance.lead1@example.com,example.com,ap2@example.com,ACH Payment Notification,Blocked,Quarantine,fail
2026-05-08 03:01:44,<24e2a0a6e6c19b7145d38c08@smtp.example-esp.net>,finance.lead2@example.com,example.com,ap3@example.com,Please DocuSign: Direct Deposit Authorization,Blocked,Quarantine,fail
2026-05-09 03:02:44,<be25ac7a40ac3a41bcc0a1e8@smtp.example-esp.net>,finance.lead3@example.com,example.com,ap0@example.com,Invoice #A8813 past due,Blocked,Quarantine,fail
2026-05-01 03:03:44,<166598cadb10d33a2966ea5e@smtp.example-esp.net>,finance.lead4@example.com,example.com,ap1@example.com,You have (2) unread voicemails,Blocked,Quarantine,fail
2026-05-02 03:04:44,<65cf745b00b558eb918741f5@smtp.example-esp.net>,finance.lead0@example.com,example.com,ap2@example.com,ACH Payment Notification,Blocked,Quarantine,fail
2026-05-03 03:05:44,<aef463722938981382e94f36@smtp.example-esp.net>,finance.lead1@example.com,example.com,ap3@example.com,Please DocuSign: Direct Deposit Authorization,Blocked,Quarantine,fail
2026-05-04 03:00:44,<0d468c3b4b5701ad66458174@smtp.example-esp.net>,finance.lead2@example.com,example.com,ap0@example.com,Invoice #A8813 past due,Blocked,Quarantine,fail
2026-05-05 03:01:44,<0485f4a2759540bdc548d0e5@smtp.example-esp.net>,finance.lead3@example.com,example.com,ap1@example.com,You have (2) unread voicemails,Blocked,Quarantine,fail
2026-05-06 03:02:44,<55fa8b75cd89f719be529e52@smtp.example-esp.net>,finance.lead4@example.com,example.com,ap2@example.com,ACH Payment Notification,Blocked,Quarantine,fail
2026-05-07 03:03:44,<3deb83dab2536f5ff4c4f078@smtp.example-esp.net>,finance.lead0@example.com,example.com,ap3@example.com,Please DocuSign: Direct Deposit Authorization,Blocked,Quarantine,fail
2026-05-08 03:04:44,<51d17fa13d82b559a03f52be@smtp.example-esp.net>,finance.lead1@example.com,example.com,ap0@example.com,Invoice #A8813 past due,Blocked,Quarantine,fail
2026-05-09 03:05:44,<145f9e7694defdc71bc1a355@smtp.example-esp.net>,finance.lead2@example.com,example.com,ap1@example.com,You have (2) unread voicemails,Blocked,Quarantine,fail
2026-05-01 11:00:02,<6849fcef27e7443f76dcc54f@smtp.example-esp.net>,monitor@example.com,example.com,datafeed@example.com,Nightly export complete,Delivered,On-prem/external,pass
2026-05-02 11:01:02,<9d3844547a7547f37377033c@smtp.example-esp.net>,monitor@example.com,example.com,datafeed@example.com,Nightly export complete,Delivered,On-prem/external,pass
2026-05-03 11:02:02,<1c961a9690f1fa1824126f6e@smtp.example-esp.net>,monitor@example.com,example.com,datafeed@example.com,Nightly export complete,Delivered,On-prem/external,pass
2026-05-04 11:03:02,<63616eade5e5cea0cb1045d0@smtp.example-esp.net>,monitor@example.com,example.com,datafeed@example.com,Nightly export complete,Delivered,On-prem/external,pass
2026-05-05 11:04:02,<72e3b527cb237a87b54c6c81@smtp.example-esp.net>,monitor@example.com,example.com,datafeed@example.com,Nightly export complete,Delivered,On-prem/external,pass
2026-05-06 11:05:02,<afb29be4337beeb276a13711@smtp.example-esp.net>,monitor@example.com,example.com,datafeed@example.com,Nightly export complete,Delivered,On-prem/external,pass
